#origin #RMSD #repl-origin
6ydw 0.221 ----
5lze 0.548 ----
4k4s 0.212 4k4t
9k6q 0.484 9k6r
---- 0.000 ----
7r6k 0.962 8hl2
7l20 0.261 7a5i
5uyn 0.462 ----
5t2a 0.589 9fxo
7y8y 0.776 8zhc
8uw3 1.043 6kl9
9l5s 0.408 5y88
7x7r 0.889 6wc0
2mfh 0.682 2mf1
7x7a 0.424 7y83
---- 0.000 ----
5el7 1.155 8p8w
7x7r 0.864 5el4
2rsk 0.722 2ru7
9fcv 0.726 6xjz
5zwo 1.100 9hqv
7bl3 0.310 7pak
5uyn 0.895 ----
2ww9 0.428 2wwb
9g6k 0.619 9i05
8vz6 0.608 5xwy
9aus 1.035 8ipa
3j5s 1.085 8zol
4v6q 0.324 4v6n
9b2k 0.349 7s37
---- 0.000 ----
8t2a 0.488 1ysh
---- 0.000 ----
3pla 0.233 5gin
9l5r 0.929 2du6
5xjc 0.798 ----
3k0j 1.120 7a01
9g6k 0.909 7uo1
---- 0.000 ----
5u07 0.809 6c66
3j46 1.001 6ogg
8ovj 0.791 ----
7qp7 1.113 6d9j
8uta 1.195 5cd1
1t4l 0.828 2lup
7b5k 1.181 8opt
7yr6 0.814 7yr7
3amu 0.385 3amt
7kx9 1.259 3cun
5flm 0.260 5oik
4bwm 1.149 3sn2
6jdq 0.896 6je4
9i05 0.742 7phb
6oj2 0.792 6ord
8bvj 1.084 8ceh
8iss 0.949 8psu
8opt 1.176 6pun
3iwn 0.702 3mut
7aav 0.773 6ff7
---- 0.000 ----
---- 0.000 ----
7d8c 0.748 7z34
---- 0.000 ----
9hqv 0.709 9i05
---- 0.000 ----
---- 0.000 ----
7qr3 1.076 6xiq
5el6 0.697 5e7k
4pkd 0.833 9g6k
7pia 1.041 9dtt
5nrl 0.696 5gap
8gxb 0.307 8gxc
6oxa 0.477 6otr
---- 0.000 ----
2kg1 1.215 9i05
9hcg 0.374 9hce
---- 0.000 ----
8p4e 1.414 8p4f
1etf 0.437 ----
9cdb 1.007 8z8n
4v5k 1.214 7kwg
7yr6 1.244 6shb
8pnq 0.887 8r3k
8q7n 1.281 8qo9
8qo9 0.735 8q7n
6tz2 0.918 9g6k
7ogm 1.411 7qtt
8i0p 1.299 6rti
7rdx 1.265 6r5k
---- 0.000 ----
9vd9 1.068 7ycx
9asp 1.102 6ogi
4tyy 0.952 4kze
8pj4 0.939 8pj5
4v5f 1.314 9hqv
8y0b 1.330 2ct8
2ms0 1.152 4v6p
9klq 0.454 9klo
4v6s 1.274 4v6n
8pe3 0.876 9c68
6tqn 0.731 6tqo
9ggr 0.499 9gft
8ey7 1.327 8uau
---- 0.000 ----
8y6o 0.937 9gbw
2atw 0.374 2asb
3j0l 1.430 8vwq
4v8m 1.351 4wzo
7ecv 1.403 9hqv
9ar5 0.740 9kor
6r5k 1.301 9c2k
4v6u 1.401 8qo9
5uq8 0.261 5uq7
6o7h 1.410 6o7b
7ycx 1.413 ----
7m3t 1.508 9g6k
---- 0.000 ----
6hpj 1.561 4v6r
7jqq 1.808 4qu7
7nww 0.762 7oif
2om7 1.443 7a9w
4yvi 0.696 4yvj
4v6p 1.625 6r5k
