#origin #RMSD #repl-origin
8yb6 0.344 ----
7y8y 0.811 4wsd
5u34 0.779 8d4b
3j5y 0.879 8ac0
7s0s 0.662 8zp7
5zwo 0.881 8isz
1qzw 1.171 6ltp
4v4p 0.951 5myj
4v8m 1.074 ----
---- 0.000 ----
8fzh 0.443 8fze
8uis 1.132 7ph9
6zj3 0.607 9ggr
---- 0.000 ----
6gqv 0.422 6gqb
9ax8 0.697 6zvk
6d9j 0.609 7wb0
6w5c 0.381 ----
8ove 0.794 8ova
5x6b 1.315 ----
8wkp 0.618 9d85
5jut 0.476 5jus
9but 0.252 9buu
3jb9 1.137 6zvh
4v6z 1.071 4v54
8ove 0.850 6w62
2nr0 0.967 7qp6
7pic 1.160 7uph
5xlo 0.763 5xlp
5ot7 0.858 4v5j
9esh 0.225 9esi
6w64 1.049 2mqo
8a3y 1.266 4v6l
4v4x 0.259 4v4z
9nlv 0.718 3g8s
6o1o 0.639 6o7i
6zdp 0.715 9fia
8fcj 0.252 ----
3j0d 0.205 3deg
2vrt 1.158 9hcg
---- 0.000 ----
6qzp 0.946 ----
8q7n 0.571 8qo9
---- 0.000 ----
7a01 1.222 7xg4
8rc3 0.921 6ddd
4v6o 1.059 4v6v
7jqq 1.193 8z1p
8zgr 1.153 5b43
8ewg 1.346 8ej3
4v7l 1.199 1o0c
4wt1 0.543 4wqr
8pj3 1.330 6wdi
7o9k 1.230 ----
8zdy 1.019 9jxs
8qoa 1.133 4v4g
4v61 1.052 6tnn
3al0 0.962 3akz
8uau 1.343 8umf
2ihx 1.207 8p8w
8hl2 0.997 8hky
5lqw 1.460 6z6g
4wqr 0.220 4wt1
7pkt 1.097 ----
2mgz 1.113 6gov
6xu8 1.015 6szu
5lqw 1.175 ----
7a09 1.193 6xir
9fia 0.916 5ms0
6y57 0.734 7qvp
---- 0.000 ----
---- 0.000 ----
7a5h 0.455 ----
8qie 0.906 8rxx
9hqv 0.404 9fia
6b47 1.239 6ne0
8uiw 1.206 9hn7
2e9r 1.499 ----
4wr6 0.516 4wra
3j46 0.317 3j45
8fni 0.425 ----
7ogm 1.179 7x34
6wlh 1.487 ----
3amu 0.324 3amt
9kor 1.372 9hqv
---- 0.000 ----
2rfk 1.424 9hch
4v4x 0.701 4v4z
8fr8 1.657 6las
7zoq 0.661 7zol
2lec 1.291 4v6o
