#origin #RMSD #repl-origin
---- 0.000 ----
7msc 0.208 ----
7zp8 0.217 ----
8wml 0.210 6o97
6of6 0.204 7qr4
8rr3 0.202 4v76
6wdc 0.206 5kpv
4kji 0.240 4wra
9k6s 0.210 ----
7lh5 0.233 ----
9fia 0.204 ----
9o3j 0.209 ----
8j9g 0.220 ----
9h9h 0.215 8hky
8rbj 0.211 1lng
9drv 0.227 6gzq
7eiz 0.246 ----
6ff7 0.216 ----
9o3k 0.235 7u2b
7ele 0.242 5zal
4v7w 0.203 4v7x
9qeq 0.232 9cf2
9klq 0.229 ----
---- 0.000 ----
---- 0.000 ----
8v9l 0.206 ----
---- 0.000 ----
8t5d 0.233 7nsp
8qo9 0.232 ----
7v01 0.221 ----
---- 0.000 ----
9g6k 0.247 9hqv
6oig 0.244 9enf
3jb9 0.318 ----
8vwq 0.213 7pkt
---- 0.000 ----
6rja 0.274 ----
4ioc 0.202 ----
---- 0.000 ----
---- 0.000 ----
---- 0.000 ----
6uq3 0.228 ----
6zmo 0.254 ----
3ja1 0.318 4v79
6c4h 0.270 1gts
7pia 0.240 6gzz
---- 0.000 ----
9izp 0.200 9ij2
9i05 0.206 ----
4wsm 0.298 5kpv
8jtj 0.216 ----
---- 0.000 ----
3jce 0.292 8bhn
---- 0.000 ----
5nd8 0.229 8hl2
9ey2 0.201 8gs2
9bdp 0.261 4v8b
9c75 0.287 6exv
---- 0.000 ----
5dm7 0.283 ----
7chd 0.213 ----
9o3l 0.269 9b00
4v66 0.321 5aj0
---- 0.000 ----
5ady 0.270 5mqf
7uph 0.331 ----
9k2g 0.288 6vff
9mw7 0.291 6zym
9o3h 0.233 ----
6om0 0.273 4v8n
---- 0.000 ----
---- 0.000 ----
6ah0 0.282 7nwt
4v7h 0.325 ----
6t83 0.273 ----
8i0p 0.318 6kc7
1t4l 0.319 ----
9j9h 0.215 ----
9qrp 0.218 ----
---- 0.000 ----
6vwl 0.217 ----
6v39 0.207 8pj4
9klo 0.208 ----
9j1m 0.253 6r6p
3jah 0.354 6spf
6yss 0.212 2ake
7lys 0.222 6zu5
8qpp 0.235 7pal
9i05 0.210 ----
5imr 0.331 3g8t
5y7m 0.250 7sso
8ipd 0.210 ----
7r6k 0.202 8acp
9e0p 0.312 9e0n
9gha 0.201 ----
8scb 0.244 ----
---- 0.000 ----
8fto 0.217 ----
4v4z 0.297 6xu6
5aj0 0.225 9bdn
8jh3 0.309 6wrs
5nco 0.238 4v7e
---- 0.000 ----
---- 0.000 ----
6nwy 0.285 2b2e
5oa3 0.206 8bsj
7msz 0.274 7d80
1asy 0.234 1asz
5eim 0.246 6wda
---- 0.000 ----
5iqr 0.346 8agt
4v4j 0.354 ----
8fru 0.222 ----
9klq 0.268 ----
9qqb 0.207 ----
7kjw 0.222 7kjv
8gwb 0.323 6r7q
5jbg 0.212 3trz
7rr5 0.318 8r55
---- 0.000 ----
7jqq 0.318 6ify
9c4g 0.212 8fr8
---- 0.000 ----
6zj3 0.297 6n8o
7pai 0.257 9iiy
9hqv 0.213 7pjy
---- 0.000 ----
8zqc 0.252 8hl2
---- 0.000 ----
9g9h 0.251 9g9g
---- 0.000 ----
---- 0.000 ----
4v4i 0.344 ----
7pha 0.301 ----
5j3c 0.235 ----
1j2b 0.319 6jdv
4u67 0.224 8bvj
---- 0.000 ----
4v4z 0.241 4v4x
3qsy 0.294 6s13
4v6e 0.309 ----
6bk8 0.261 ----
7ssd 0.263 4v74
9n2b 0.227 8z1p
9no7 0.208 ----
---- 0.000 ----
7doi 0.364 5ddo
7onu 0.293 ----
---- 0.000 ----
4w29 0.287 1ull
4ug0 0.270 ----
6gsk 0.350 ----
9nlb 0.253 7pkt
9b0s 0.229 ----
6uo1 0.211 5j4c
6y0g 0.305 7ase
7jt3 0.227 6wdg
---- 0.000 ----
4boc 0.206 9gur
---- 0.000 ----
5czp 0.340 3epl
8scb 0.265 7aoh
9fcv 0.221 ----
---- 0.000 ----
4v5k 0.246 7ssw
---- 0.000 ----
3adc 0.274 3adb
5e7k 0.316 ----
3cun 0.363 3cul
7rq9 0.205 7rq8
1g1x 0.335 4c7o
8eg0 0.205 8y0x
9buu 0.284 6wnw
9g6k 0.228 9fia
---- 0.000 ----
4v4g 0.244 2mfg
4v8o 0.338 9asp
8vft 0.256 ----
5u9f 0.228 6osq
6wdg 0.286 4v90
---- 0.000 ----
8agu 0.314 8agt
6vu3 0.325 6xu7
---- 0.000 ----
---- 0.000 ----
5jut 0.279 4wsd
8y03 0.351 ----
---- 0.000 ----
5vpp 0.222 ----
4woi 0.207 ----
8ptz 0.210 7m4x
9k0z 0.221 6z6k
---- 0.000 ----
8g29 0.374 7y7p
8wus 0.298 8xsz
3j6x 0.259 3j6y
7d6z 0.244 7pao
5w5y 0.292 ----
6s05 0.317 8cku
---- 0.000 ----
3irw 0.318 8c95
4v4z 0.374 ----
5nco 0.273 9bs6
9f9s 0.207 7top
3dll 0.257 3j5s
7a5i 0.297 5wfs
---- 0.000 ----
4v4x 0.266 ----
5u4i 0.309 8bh4
7pha 0.336 6of6
9guv 0.290 9guu
9ij2 0.270 6xu8
8t2z 0.208 ----
9no7 0.201 ----
---- 0.000 ----
---- 0.000 ----
---- 0.000 ----
---- 0.000 ----
6hd7 0.272 5gak
9l5t 0.207 6ztm
---- 0.000 ----
8bsj 0.323 4w29
---- 0.000 ----
4v5b 0.351 4v8j
5el4 0.313 9b1y
---- 0.000 ----
---- 0.000 ----
6skf 0.370 4wsm
7ele 0.271 7qi6
8i0p 0.328 6zvk
8p2f 0.236 7k9e
5zlu 0.257 5j8b
8ewc 0.201 ----
---- 0.000 ----
4v8m 0.416 8uu6
5mc6 0.215 3jbo
5mlc 0.286 ----
7cpv 0.267 7vg2
7zta 0.307 8ceh
---- 0.000 ----
---- 0.000 ----
4v4x 0.254 4v4z
4v69 0.342 5t5h
5imq 0.281 4v9j
4v6z 0.230 4v74
8hnv 0.215 9bss
5uq8 0.308 6mcc
6zj3 0.243 ----
5j88 0.203 4woi
5on6 0.219 4u3n
9l5r 0.207 ----
4v8o 0.376 3j5s
5aj0 0.325 4v61
7nwg 0.367 3ndb
---- 0.000 ----
---- 0.000 ----
4v76 0.206 ----
9o3h 0.288 5imq
---- 0.000 ----
---- 0.000 ----
---- 0.000 ----
8t3a 0.319 7b5k
8zgy 0.315 6ztl
---- 0.000 ----
4v4j 0.287 7as9
---- 0.000 ----
4ioc 0.265 4ioa
7qgg 0.311 9eal
---- 0.000 ----
---- 0.000 ----
3foz 0.367 4v91
7jqq 0.300 ----
7pia 0.226 8jdm
3ktw 0.323 ----
5el7 0.284 ----
4v9l 0.257 4v9m
9ed9 0.204 6xu8
3b0v 0.249 4v9j
5zwo 0.306 4v9k
9ggr 0.292 7sys
---- 0.000 ----
---- 0.000 ----
3wqz 0.263 3wqy
5ndk 0.204 5ndj
5zet 0.356 8kai
9asn 0.233 8h6e
4v5g 0.333 4v5b
4v69 0.311 2bs1
7asm 0.252 ----
---- 0.000 ----
