#origin #prim-ind #is-repl #prim-origin #prim-RMSD #ext-ind #ext-origin #ext-RMSD
1xok 1514 0 6zj3 1.065    0 ---- -1
2izn  921 0 5jcs 1.401    1 5lzc 1.297
2jpp 1041 0 2mfc 1.002    0 ---- -1
2nr0  493 0 1euy 1.281    0 ---- -1
5ddo  240 0 3muv 1.179    0 ---- -1
7dlz  481 0 ---- 1.305    0 ---- -1
7jqq 1366 0 4krf 1.140    0 ---- -1
7msf  136 0 4v5a 1.588    2 5aj0 1.407
7sbb  552 0 6xn7 1.057    0 ---- -1
9e7e  563 0 9g6k 1.896    3 9e7d 1.399
9j89  655 0 ---- 1.853    4 9i05 1.585
2mfh 1073 0 1etf 2.094    5 2mf0 1.503
3pkm 1077 0 2izn 1.800    0 ---- -1
1a4t  318 0 6id0 1.226    0 ---- -1
1biv 1189 0 7v93 1.903    6 1zbn 1.133
1biv 1151 0 6qcv 1.622    7 9cev 1.471
1c0a 1085 0 3jbp 1.069    0 ---- -1
1eiy  992 0 8qhu 2.321    8 6az3 1.918
1euq  346 0 1qtq 1.313    0 ---- -1
1exd  439 0 1qru 1.475    9 2azx 1.355
1exy  153 0 5juo 1.177    0 ---- -1
1exy  596 0 8joz 1.241    0 ---- -1
1exy  250 0 9mtq 1.348    0 ---- -1
1exy 1305 0 ---- 1.309    0 ---- -1
1f6u 1709 0 9g6k 1.891    0 ---- -1
1g1x 1560 0 7qtt 2.187   10 9j8p 2.011
1g1x 1662 0 8ydb 1.765   11 1ysh 1.387
1g70 1275 0 ---- 1.518   12 5wsg 1.286
1g70 1214 0 8uta 1.895    0 ---- -1
1i9f 1665 0 8z1f 1.535    0 ---- -1
1j1u  843 0 8ekc 1.350    0 ---- -1
1j1u 1030 0 ---- 1.016    0 ---- -1
1j2b 1496 0 6vrb 1.649   13 9hqv 1.500
1jbs 1534 0 7jt1 1.690  404 9g6k 1.688
1k1g  658 0 ---- 2.580    0 ---- -1
1kog 1328 0 2go5 1.148   14 4v4p 1.035
1kog 1265 0 ---- 1.749   15 4yye 1.322
1kog  769 0 9b0q 2.137    0 ---- -1
1l1c 1329 0 2ihx 1.820   16 9i05 1.562
1l9a 1756 0 ---- 1.209    0 ---- -1
1lng  249 0 9hqv 1.400    0 ---- -1
1mnb 1189 0 7v93 1.891    6 1zbn 1.372
1mnb 1423 0 5t5h 1.238   17 5gap 1.131
1msw 1677 0 9but 1.456  626 7pia 1.390
1ooa  606 0 2nz4 1.643    0 ---- -1
1p6v  507 0 ---- 1.832   18 2czj 1.024
1qzw  140 0 4v4x 1.434    0 ---- -1
1rkj  800 0 3u56 1.630   19 9hqv 1.322
1s03 1365 0 4c7o 1.880    0 ---- -1
1s03  772 0 9izp 1.653   20 4v8m 1.155
1s03  705 0 ---- 1.871   21 7bt6 1.732
1s77 1317 0 1s76 1.127    0 ---- -1
1sjf 1054 0 ---- 1.125    0 ---- -1
1sm1 1021 0 ---- 1.721    0 ---- -1
1sm1 1238 0 ---- 1.029    0 ---- -1
1tfw  877 0 ---- 1.545    0 ---- -1
1u6p 1247 0 ---- 1.681   22 7jqq 1.338
1un6  728 0 3izz 1.500   23 9dcf 1.219
1wwd 1627 0 8ova 2.239   24 4v6w 1.953
1wz2 1180 0 7pkt 1.536    0 ---- -1
1xok 1273 0 ---- 1.355    0 ---- -1
1y69 1361 0 3v11 1.249    0 ---- -1
1ysh  741 0 6az3 1.889   25 9i05 1.719
1ysh 1365 0 4c7o 1.691   26 1g1x 1.387
1zbn 1189 0 7v93 2.024   27 1biv 1.133
1zbn  772 0 9izp 1.634    0 ---- -1
